WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (7.01062304306264 47.709638242681)","5374",MECAPLUS,ZAC de la Brasserie - 2 rue du général De Gaulle,LACHAPELLE SOUS ROUGEMONT,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901436,Non Seveso
"POINT (7.01857879885732 47.7133214013035)","5396",KAUFFMANN HENRI,17 rue du général De Gaulle,LACHAPELLE SOUS ROUGEMONT,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903502,Non Seveso
"POINT (7.03194457186925 47.6852650868354)","5423",GAEC DU BREUIL,2 RUE DE L'ECOLE - CIDEX 132,VAUTHIERMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000048,
"POINT (6.9754696257948 47.7053957887016)","5424",GAEC CHRETIEN,CIDEX 60 19 RUE DE L'EGLISE,FELON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000021,
"POINT (7.03392587840707 47.6827002274708)","5425",EARL DU HAUT DE L'EGLISE,7 RUE DU TILLEUL,VAUTHIERMONT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000051,
"POINT (6.97590262491728 47.7285419621261)","5428",GAEC RECONNU DUCROZ,5 RUE PRINCIPALE,LEVAL,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000036,
"POINT (7.00442406905474 47.6937909178126)","5434",GAEC MICHEL,"11, rue du Moulin",ANGEOT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0059000059,
"POINT (6.99992353063137 47.6807870889472)","5452",COPROSID,"1 et 8, rue du Général Beuret",Larivière,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902140,Non Seveso
"POINT (5.50343603193452 47.2628470956277)","5506",PARIS MICHEL,,CHAMPAGNEY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300738,Non Seveso
"POINT (5.46323377589749 47.0768259194031)","5507",AFULUDINE,Centre d'activités nouvelles du Grand Dole - 210 avenue de Verdun - BP 400,Dole,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003301780,Non Seveso
"POINT (5.58640407732149 47.1406577706909)","5508",PERNOT S.E.T. (Audelange),Lieudit Les Creux de l'Abbayette,AUDELANGE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903227,Non Seveso
"POINT (5.54248125007359 47.1951631856297)","5509",CARRIERES DE MOISSEY,rue de la Serre,MOISSEY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900904,Non Seveso
"POINT (5.46776498902851 47.1138941869145)","5510",SOCIETE DES CARRIERES DE L'EST,Avenue Gustave Courbet,MONNIERES,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900907,Non Seveso
"POINT (5.51482693866792 47.1124118047765)","5511",ALPHA RECYCLAGE FRANCHE COMTE,22 allée du Bois,Brevans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100053,Non Seveso
"POINT (5.41689835020324 47.0667703182597)","5512",INOVYN FRANCE,Grange Sèche,DAMPARIS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100168,Non Seveso
"POINT (5.48466128434432 47.1323669781636)","5513",SOCALEST  (Jouhe),MONT ROLAND,JOUHE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901679,Non Seveso
"POINT (5.49590013989124 47.6235775323864)","5514",BONGARZONE ET CIE,Lieu-dit Combes Charton,CHAMPLITTE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901784,Non Seveso
"POINT (5.50419948654146 47.1051841767565)","5515",INDUSTRIE DOLOISE MICRO MECANIQUE (IDMM),Zone des Grandes Epenottes,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600318,Non Seveso
"POINT (5.58988155856966 47.4537257369819)","5516",SYTEVOM,ZI les Giranaux,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700010,Non Seveso
"POINT (5.49188374296139 47.4882065552759)","5517",RINGUET RECYCLAGE SAS,Z.A. La Boissière,Autrey-lès-Gray,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012700083,Non Seveso
"POINT (5.57828004101655 47.4753198537666)","5518",VELET TERRASSEMENTS SAS,Lieu-dit Les Aiges,Arc-lès-Gray,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901754,Non Seveso
"POINT (5.50278753743315 47.1031880422417)","5519",DPO SARL,"29, rue Macedonio Melloni - ZA Les Epenottes",DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903886,Non Seveso
"POINT (5.42047062579022 47.0453208346635)","5520",SICTOM de Dole,10 rue du Luxembourg,TAVAUX,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905582,Non Seveso
"POINT (5.51295141047912 47.1103898385619)","5521",SICTOM DE LA ZONE DE DOLE,22 allée du Bois,Brevans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905612,Non Seveso
"POINT (5.47094564226197 47.1055664143705)","5522",SADE,rue du Mont d'Alans (RD 905),DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906460,Non Seveso
"POINT (5.51801335092703 47.1131171128499)","5523",BIPE,22 ALLÉE DU BOIS,BREVANS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906510,Non Seveso
"POINT (5.4990823837722 47.0753445350023)","5530",GROUPE MAINE SAS,RUE DU GENERAL BETHOUARD - ZONE PORTUAIRE,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003300941,Non Seveso
"POINT (5.49206661857223 47.0798827862035)","5532",IDEAL STANDARD INDUSTRIES,65 RUE DE CRISSEY - BP 319,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900827,Non Seveso
"POINT (5.48648328061932 47.1398130066485)","5533",Société Routière & Dragages Est,,JOUHE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900856,Non Seveso
"POINT (5.49522805697999 47.1131516770375)","5534",MOREL Alexandre,"8, rue Monge",DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100086,Non Seveso
"POINT (5.46482296932848 46.9673573116581)","5535",BAUDIN Jean (Ets),Lieu-dit MEIX FETOU,BALAISEAUX,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100091,Non Seveso
"POINT (5.57691674687402 47.486734218908)","5536",BONGARZONE ET CIE,Charme du Moulin,CHARGEY LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901789,Non Seveso
"POINT (5.55952267895845 47.4225410945898)","5537",GSM (Velet) (Prés Médecins),Lieu-dit  Prés Médecins,VELET,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901896,Non Seveso
"POINT (5.49135307328359 47.1717475215739)","5538",PLOYER Georges,Lieu-dit Les Pandelières,CHEVIGNY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600090,Non Seveso
"POINT (5.57150733468529 47.4521427401843)","5539",PIVER SARL,122 route de Dijon,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901067,Non Seveso
"POINT (5.50088936237886 47.1123177701611)","5540",BRICE René,"15, rue de la Montée Rouge",AUTHUME,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600518,Non Seveso
"POINT (5.6025727963172 47.238118610632)","5541",GUINTOLI (Thervay),,THERVAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600460,Non Seveso
"POINT (5.54574730721642 47.419465947992)","5542",GSM BOURGOGNE FRANCHE COMTE,Lieu-dit Bois de la Vaivre,VELET,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900127,Non Seveso
"POINT (5.49436965517279 47.0737979667881)","5543",RECONNEILLE (Société Nouvelle),MONT D'ALANS,DOLE,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901664,Non Seveso
"POINT (5.44345782036967 47.4583330184479)","5544",BONGARZONE ET CIE (Autrey lès Ray),Lieu-dit Aux Lavières,AUTREY LES GRAY,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901760,Non Seveso
"POINT (5.54933731084455 47.3535208844675)","5545",SYTEVOM (CSD de Classe 2),La Ferme Grandjean,Vadans,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901939,Non Seveso
"POINT (5.41960451982018 47.0609759396949)","5552",Société Jurassienne de Céramique Française,"USINE DE BELVOYE - 4,Rue du Moulin",DAMPARIS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900806,Non Seveso
"POINT (5.48561195511296 47.0805982947089)","5553",CLAVIERE VIANDES SAS,RUE DU GENERAL BETHOUART - Zone Portuaire,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005900811,Non Seveso
"POINT (5.51307112179804 47.1106934955963)","5554",SICTOM de Dole,"22, Allée du Bois",BREVANS,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012100068,Non Seveso
"POINT (5.60563029735515 47.4602733086027)","5555",VPAO SARL,ZI les Giranaux - 3 rue du Port,ARC LES GRAY,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012200033,Non Seveso
"POINT (5.55381612449458 47.1299419941067)","5556",COLRUYT RETAIL FRANCE,4 rue Entrepôts,ROCHEFORT SUR NENON,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600037,Non Seveso
"POINT (5.46132254383174 47.0684626026899)","5557",GROUPEMENT DE COOPERATION SANITAIRE BLANCHISSERIE INTERHOSPITALIERE DU JURA - GCS,120 ROUTE NATIONALE,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012600139,Non Seveso
"POINT (5.49050094742148 47.1170727791796)","5558",PERNOT S.E.T. (Authume),Au Grand Mont,AUTHUME,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901622,Non Seveso
"POINT (5.39288362727249 47.0032724731869)","5559",PERNOT S.E.T. (Champdivers),L ILION CHAUDAT GRAN,CHAMPDIVERS,Autorisation,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005901637,Non Seveso
"POINT (5.48825172379192 47.0809378186477)","5560",SICTOM de Dole,Rue Coste et Bellonte,DOLE,Enregistrement,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005904100,Non Seveso
